Регион,Адрес,Название,Цена,Контактов / мес,"Интенсивность выхода, каждые N мин",Часы работы,Выходов / мес,lat,lon
Томск,"ул. Мостовая, 38г",Маяк,,16000,15,09:00 - 21:00,1344,56.548445,84.958078
Горно-Алтайск,"ул. Бийская, 8",Маяк,6370.0,16000,15,09:00 - 21:00,1344,51.969596,85.915206
Бийск,"ул. Васильева, 85, к1",Маяк,5400.0,16000,15,09:00 - 21:00,1344,52.506673,85.129836
Барнаул,"Павловский тракт, 188",Маяк,5400.0,16000,15,10:00 - 21:00,1232,53.349532,83.637654
Барнаул,"пр-кт Космонавтов, 8/2",Маяк,5400.0,16000,15,09:00 - 21:00,1344,53.388677,83.728671
Новосибирская обл,"п. Садовый, ул. Пасечная, 14, к.2, пом. П2",Маяк,,16000,15,09:00 - 21:00,1344,55.135006,82.994595
Новосибирск,"ул. Мира, 61",Маяк,7340.0,16000,15,09:00 - 21:00,1344,54.959077,82.94154
Новосибирск,"ул. Сибиряков-Гвардейцев, 47, к.1",Маяк,7340.0,16000,15,09:00 - 21:00,1344,54.953406,82.902472
Новосибирск,"ул. Волочаевская, 57/1",Маяк,7340.0,16000,15,09:00 - 21:00,1344,55.050664,83.005186
Прокопьевск,"ул. Правды, 6",Маяк,,16000,15,09:00 - 21:00,1344,53.943546,86.722522
Прокопьевск,"ул. Гайдара, 41, пом. 3",Маяк,,16000,15,09:00 - 21:00,1344,53.857582,86.637434
Новокузнецк,"ул. Ярославская, 15б/4",Маяк,,16000,15,09:00 - 21:00,1344,53.838385,87.19147
Новокузнецк,"ул. Хлебозаводская, 5",Маяк,,16000,15,09:00 - 21:00,1344,53.772562,87.108798
Новокузнецк,"пр-д Технический, 33",Маяк,,16000,15,09:00 - 21:00,1344,53.77667,87.224806
Киселевск,"пр-д Западный, 3",Маяк,,16000,15,09:00 - 21:00,1344,53.996948,86.540784
Ленинск-Кузнецкий,"ул. Спасстанция, 15/44",Маяк,,16000,15,09:00 - 21:00,1344,54.694873,86.199253
Кемерово,"ул. Попова, 26",Маяк,,16000,15,09:00 - 21:00,1344,55.405685,86.013599
Кемерово,"бульв. им. Академика Л.С. Барбараша, 3/1",Маяк,,16000,15,09:00 - 21:00,1344,55.390997,86.118827
Якутск,"ул. Усть-Мархинка, 33/3",Маяк,,16000,15,09:00 - 20:00,1232,62.101723,129.803082
Благовещенск,"ул. Театральная, 251/1",Маяк,,16000,15,09:00 - 21:00,1344,50.313275,127.568217
Благовещенск,"ул. Больничная, 79/1",Маяк,,16000,15,09:00 - 21:00,1344,50.282525,127.498948
Биробиджан,"ул. Школьная, 5а, стр. 1",Маяк,,16000,15,09:00 - 21:00,1344,48.785153,132.915457
Хабаровск,"просп. 60-летия Октября, 202",Маяк,,16000,15,09:00 - 21:00,1344,48.492149,135.101992
Хабаровск,"ул. Жданова, 16/1",Маяк,,16000,15,09:00 - 21:00,1344,48.502256,135.042668
Хабаровск,"ул. Павловича, 13",Маяк,,16000,15,09:00 - 20:00,1232,48.475373,135.086802
Хабаровск,"ул. Тихоокеанская, 204",Маяк,9400.0,16000,15,09:00 - 21:00,1344,48.553863,135.047599
Хабаровск,"ул. Суворова, 80",Маяк,9400.0,45000,15,09:00 - 21:00,1344,48.392915,135.128933
Хабаровск,"ул. Зеленая, 3а, лит. С",Маяк,,16000,15,09:00 - 20:00,1232,48.450795,135.127747
Комсомольск-на-Амуре,"ул. Уральская, 16",Маяк,,16000,15,09:00 - 21:00,1344,50.588083,137.078232
Комсомольск-на-Амуре,"ул. Павловского, 1, пом.3",Маяк,,16000,15,09:00 - 21:00,1344,50.564716,137.011137
Уссурийск,"ул. Беляева, 30а",Маяк,,16000,15,09:00 - 20:00,1232,43.836743,131.937344
Владивосток,"ул. Чукотская, 6а, стр. 3",Маяк,,16000,15,09:00 - 20:00,1232,43.092169,131.944549
Владивосток,"ул. Маковского, 93",Маяк,,16000,15,09:00 - 21:00,1344,43.22534,131.994307
Находка,"Северный просп., 75",Маяк,,16000,15,09:00 - 21:00,1344,42.857639,132.971584
Петропавловск-Камчатский,"ул. Вулканная, 59",Маяк,,16000,15,09:00 - 21:00,1344,53.082883,158.633882
Киселевск,"ул. Ленина, 45",Мария-Ра,7720.0,50000,15,08:00 - 22:00,1568,54.001262,86.63967
Южно-Сахалинск,"ул. Мира, 5/1",Маяк,,50000,15,09:00 - 21:00,1344,46.992338,142.739532
Южно-Сахалинск,"ул. Холмская, 45",Маяк,15010.0,20000,15,08:55 - 21:00,1456,46.968564,142.704848
Омск,"Входной микрорайон, 36",Дарим вкус,6530.0,18000,15,08:00 - 21:30,1456,54.953644,73.176485
Омск,"ул. Крыловская, 54Б",Дарим вкус,6530.0,18000,15,08:00 - 21:30,1456,54.921888,73.404396
Омск,"ул. Гризодубовой, 9",Дарим вкус,6530.0,18000,15,08:00 - 21:30,1456,54.94397,73.39191
Омск,"ул. 5-я Кордная, 57",Дарим вкус,6530.0,18000,15,08:00 - 21:30,1456,54.95902,73.470845
Омск,"ул. Семиреченская, 134",Дарим вкус,6530.0,18000,15,08:00 - 21:30,1456,54.930139,73.279126
Омск,"ул. 3-я Ленинградская, 43/1",Дарим вкус,6530.0,18000,15,08:00 - 21:30,1456,54.923041,73.488541
